,username,sentiment,sentimentComm
0,brittanyhennig_,28.014503115105704,1
1,antibioticdoc,0.0,1
2,chitguppi,4.881013175365126,0
3,theovalpawffice,0.0,0
4,thefirstdogs,0.0,0
5,quick13,0.0,1
6,mhealthfairview,10.083750383004798,1
7,torifam1,-18.558880604636915,1
8,potus,0.0,1
9,borisjohnson,0.0,1
10,justintrudeau,0.0,1
11,jpn_pmo,0.0,1
12,moray1959,-2.6143907670309474,0
13,newscomauhq,0.0,0
14,jhpiego,21.541721989582264,1
15,gavi,8.21575580801543,0
16,bcmhouston,6.008857856473007,0
17,peterhotez,11.349581248084974,0
18,nileshprajapat,0.0,0
19,bjp4maharashtra,0.0,0
20,armydevendra,0.0,0
21,dev_fadnavis,0.0,0
22,devendra4vikas,0.0,0
23,devendra_office,0.0,0
24,pravinalai,0.0,0
25,cnbctv18news,4.6364908949996035,0
26,covaxinbharat,0.0,0
27,alihmokdad,5.8982739250331875,1
28,ihme_uw,14.068532325605148,0
29,us_fda,8.025227249514856,1
30,robchandigarh,4.829203071466374,1
31,narendramodi,0.0,0
32,dhruvjyoti0311,-9.293228475130228,0
33,arvindkejriwal,0.0,0
34,msisodia,0.0,0
35,jack_scott,17.56919620059238,0
36,dhscgovuk,13.57360257962852,0
37,canimmunize,20.155244612399137,1
38,nyt,0.0,1
39,rnorthumberland,5.838831580022465,0
40,drhvoffice,5.601062199979566,0
41,drharshvardhan,10.10056696586566,0
42,j_ortega_mcgill,27.34960678173833,1
43,mcgillu,0.0,1
44,mcgillmed,0.0,1
45,medicagoinc,-11.922173424573586,1
46,erniehardeman,12.565621489122663,1
47,joebiden,0.0,1
48,urbanflats_to,23.197834746195483,1
49,topublichealth,10.76659322701606,1
50,gingermedwin,9.588436790459056,1
51,mghtoronto,1.7273516494740022,1
52,drmwarner,0.0,1
53,sharkawymd,19.66193442957818,1
54,bogochisaac,5.330277806148501,1
55,traymay5,23.948524154836065,1
56,georgemasonu,13.74374425492799,1
