,username,sentiment,sentimentComm
0,voastevenson,3.2924642456227318,1
1,[,0.0,1
2,,0.0,1
3,c,0.0,1
4,n,0.0,1
5,b,0.0,1
6,i,0.0,1
7,],0.0,1
8,kerwinso,10.142549454563031,1
9,f,0.0,1
10,d,0.0,1
11,a,0.0,0
12,p,0.0,1
13,h,0.0,0
14,l,0.0,1
15,e,0.0,1
16,s,0.0,1
17,mb_mrtnsdngdng,0.0,1
18,m,0.0,0
19,u,0.0,0
20,t,0.0,1
21,mat4g13,3.3085008674354555,0
22,j,0.0,0
23,k,0.0,0
24,v,0.0,1
25,y,0.0,0
26,acupuncturephil,0.0,0
27,r,0.0,0
28,asiabiospectrum,15.182161445045416,1
29,o,0.0,1
30,aublumberg,10.47045616899684,1
31,ilyanashaf,-2.8758036534340228,1
32,w,0.0,1
33,kotian_jatin,2.4247372180834716,0
34,7,0.0,0
35,0,0.0,0
36,3hanot,18.620267374221854,0
37,sinovac,6.699381710308231,1
38,_,0.0,0
39,ghazalimatnor,-1.9206041432799275,0
40,maawlaw,2.173691192978872,1
41,z,0.0,0
42,freegazaorg,0.0,1
43,g,0.0,1
44,tedkempcnbc,0.0,0
45,miktrinh,9.940810286763956,1
46,itrixy,0.0,1
47,qnewscrunch,0.0,1
48,q,0.0,0
49,communications,0.0,1
50,zeinobia,0.0,0
51,2,0.0,0
52,4,0.0,0
53,marytherobot,9.731820110537598,1
54,bdrcs1,0.0,1
55,1,0.0,0
56,hengrenworks,-1.838452903357485,1
57,truenewsco,0.0,1
58,kucrit29,13.544239208082452,0
59,svmejia,-11.339932646188391,1
60,x,0.0,0
61,lifebystills,10.47045616899684,0
62,joycelaunews,-9.000918461067457,1
63,darkangeljames1,4.243290131646084,0
64,1africa1love,17.9987753852434,0
65,covidgi,-12.529339728543729,0
66,monypay,-13.611593019695885,0
67,deng_yiming05,16.86425728572886,1
68,dean_shafiai,0.0,0
69,microbesinfo,0.0,0
70,6,0.0,0
71,harryiwood,11.11950198999898,1
72,5,0.0,0
73,joniric0,25.977140524543323,1
74,spaininusa,19.192774772936012,0
75,miamalan,15.430145933258501,0
76,ree241288,-1.6170017348709074,0
77,foreropa27,2.4247372180834716,0
78,fadhrainbow,0.0,0
79,kakmidah,2.9620369425451543,0
80,labmolcelvirol,0.0,1
81,muslimakhi92,10.47045616899684,0
82,abcnews,0.0,0
83,nhk1983,9.803041126645574,0
84,padrealex,21.315780521821956,0
85,avrilbellon,0.0,1
86,covidstatus,-9.000918461067457,0
87,pro13caraga,0.0,0
88,newsflashph,0.0,0
89,iamalexxrenji,28.968262067557916,0
90,myfreedommove,-11.252168588631491,0
91,detective_jimmy,4.631084804571898,0
92,billibear3,-4.647413001326662,0
