,username,sentiment,sentimentComm
0,corporate_king,-5.875397908140062,0
1,self,0.0,1
2,huski67,-22.07518569046536,1
3,tristanmarmont,-26.934970441109595,1
4,clsepa,7.810747309383061,1
5,solentnhstrust,-9.498635743519777,0
6,isassafras,-24.067000151584054,0
7,hopefaithbelie1,11.517861654287302,0
8,maarmastansind3,0.0,0
9,cdcemergency,9.541912990753367,0
10,towelietrades,0.9545008496685092,0
11,kpdor,12.325299378505385,0
12,maricopahealth,11.620938810570472,0
13,lawscribes,-9.029862058511444,1
14,rebelbcause85,0.0,0
15,cdcgov,7.466819401991316,0
16,diego48979433,19.30461787214854,0
17,secbecerra,0.0,0
18,potus,0.0,0
19,keldog125,0.0,1
20,ictadvocates,16.947728765600523,0
21,holyfamily4all,27.165378202213134,0
22,nachc,10.143701682582993,0
23,chadius___,-18.622100954979537,1
24,vaxdurham,1.8197488005515687,0
25,yukonstrong,13.84417159314841,1
26,kirklubimov,-17.506442322267695,0
27,vaxyork,0.07612999553948185,0
28,topublichealth,14.521923667543213,1
29,townofinnisfil,0.0,0
30,innovativemeds,16.026981961497654,1
31,sharedhealthmb,16.044835194448673,1
32,agrisafenetwork,13.810823101409738,1
33,hollyseale,23.01258147642868,1
34,donnayoungdc,3.9635343182410097,0
35,epochtimescan,22.587539790814006,0
36,9joe9,5.720403213581932,0
37,healthgov,3.00060633621343,1
38,nychealthsystem,12.86832203152781,1
39,africanicc,15.423677429134457,0
40,cityoftoronto,4.840922223703878,0
41,ab_students,8.503360113182772,0
42,smatthewliao,18.858572078217378,0
43,cidrap,2.374908705058772,0
44,ironorehopper,3.124846958407673,0
45,sanitynow4,-10.033348491738664,1
46,mothertobaby,1.963013490980753,0
47,gcphn,25.629831741700784,1
48,regionofhalton,9.82101269959388,0
49,johnbasham,-6.7251781112626965,0
50,provideroftruth,-11.174271133343435,0
51,recordertimes,2.21540093982113,0
52,sensechimp,-21.912990753372743,1
53,peninsulaqatar,3.7687750031305427,0
54,abccollab,10.03486433227225,1
55,trueaficionado,17.28209792329848,1
56,utsphsanantonio,21.174776413521307,1
57,communitycaretx,0.0,0
58,act4freedom2021,-13.863877520084888,1
59,hppublichealth,9.137823589847244,0
60,thatsonofjacob,0.33500075792026607,0
61,adjoapokua6,0.0,0
62,coolhand_luke88,10.644737506947607,1
63,durhamhealth,4.60044792020274,1
64,jagan_chapagain,21.98120357738366,1
65,saludamerica,16.806123995755648,1
66,mrsw21045632,0.0,1
67,moremeofthesame,-16.95467636804608,0
68,justme73forall,-19.66196756101258,1
69,czambir,18.9889343641049,1
70,sid_healthcare,-0.5775352432924024,1
